wavenumber,absorbance,drug_type
978.0,2.16e-05,meth
982.0,3.84e-05,meth
986.0,6.4e-05,meth
990.0,8.719999999999999e-05,meth
994.0,0.0001152,meth
998.0,0.0001328,meth
1002.0,0.0001536,meth
1006.0,0.00019439999999999998,meth
1010.0,0.000244,meth
1014.0,0.0002712,meth
1018.0,0.0003312,meth
1022.0,0.0004896,meth
1026.0,0.0007296,meth
1030.0,0.000932,meth
1034.0,0.000948,meth
1038.0,0.0009224,meth
1042.0,0.0008351999999999999,meth
1046.0,0.0007048,meth
1050.0,0.0006887999999999999,meth
1054.0,0.0006967999999999999,meth
1058.0,0.0007568,meth
1062.0,0.0008847999999999999,meth
1066.0,0.0010008,meth
1070.0,0.0010696,meth
1074.0,0.0011727999999999999,meth
1078.0,0.0012384,meth
1082.0,0.0012335999999999998,meth
1086.0,0.0011968,meth
1090.0,0.0011608,meth
1094.0,0.0011432,meth
1098.0,0.0011416,meth
1102.0,0.0011815999999999999,meth
1106.0,0.0012928,meth
1110.0,0.0014096,meth
1114.0,0.0015672,meth
1118.0,0.0018047999999999999,meth
1122.0,0.0020624,meth
1126.0,0.0022711999999999997,meth
1130.0,0.0023944,meth
1134.0,0.0025023999999999997,meth
1138.0,0.002568,meth
1142.0,0.0025608,meth
1146.0,0.0025704,meth
1150.0,0.0026184,meth
1154.0,0.0026536,meth
1158.0,0.0026048,meth
1162.0,0.0024288,meth
1166.0,0.0022072,meth
1170.0,0.0019648,meth
1174.0,0.0016584,meth
1178.0,0.0014072,meth
1182.0,0.001236,meth
1186.0,0.0010856,meth
1190.0,0.0009664,meth
1194.0,0.0008839999999999999,meth
1198.0,0.0008552,meth
1202.0,0.0007727999999999999,meth
1206.0,0.0006848,meth
1210.0,0.0006696,meth
1214.0,0.0007063999999999999,meth
1218.0,0.000716,meth
1222.0,0.0006632,meth
1226.0,0.0006184,meth
1230.0,0.0005543999999999999,meth
1234.0,0.0004552,meth
1238.0,0.00038239999999999997,meth
1242.0,0.000332,meth
1246.0,0.0003304,meth
1250.0,0.0002896,meth
1254.0,0.0002512,meth
1258.0,0.0002936,meth
1262.0,0.0003,meth
1266.0,0.0003112,meth
1270.0,0.0003392,meth
1274.0,0.00036239999999999997,meth
1278.0,0.00035759999999999996,meth
1282.0,0.0003496,meth
1286.0,0.0003736,meth
1290.0,0.00038639999999999996,meth
1294.0,0.00037999999999999997,meth
1298.0,0.000372,meth
1302.0,0.00036639999999999996,meth
1306.0,0.0003656,meth
1310.0,0.0004104,meth
1314.0,0.0004856,meth
1318.0,0.0005463999999999999,meth
1322.0,0.0006536,meth
1326.0,0.00078,meth
1330.0,0.0009088,meth
1334.0,0.0010823999999999999,meth
1338.0,0.0012808,meth
1342.0,0.0014352,meth
1346.0,0.0015584,meth
1350.0,0.0015864,meth
1354.0,0.0014984,meth
1358.0,0.0013816,meth
1362.0,0.0013135999999999998,meth
1366.0,0.0013143999999999999,meth
1370.0,0.0013951999999999999,meth
1374.0,0.0015328,meth
1378.0,0.0016392,meth
1382.0,0.0016167999999999998,meth
1386.0,0.001464,meth
1390.0,0.0012536,meth
1394.0,0.0010128,meth
1398.0,0.000772,meth
1402.0,0.0006184,meth
1406.0,0.00054,meth
1410.0,0.000512,meth
1414.0,0.0005384,meth
1418.0,0.000592,meth
1422.0,0.0006872,meth
